Training POS tagger....
Averaging weights....
Done!

Training dependency parser....
0 0.622
1 0.706
2 0.749
3 0.774
4 0.794
5 0.809
6 0.822
7 0.831
8 0.840
9 0.846
10 0.849
11 0.853
12 0.857
13 0.859
14 0.862
Averaging weights....
Done!

Saving model to model/parser.pickle
4 convenes 0 18
5 only 15 6
6 when 15 15
7 a 8 8
8 change 15 6
9 in 8 15
10 the 11 11
11 economy 14 14
12 's 11 11
13 general 14 14
14 course 9 15
15 seems 4 4
16 likely 15 15
17 . 4 4

0 ROOT ROOT None
1 `` 5 23
2 No 3 3
3 meeting 5 5
4 is 5 5
5 scheduled 21 1
6 because 9 9
7 the 8 8
8 expansion 9 9
9 shows 5 5
10 no 11 11
11 sign 9 9
12 of 11 11
13 going 12 12
14 off 13 13
15 the 16 16
16 tracks 14 13
17 , 5 11
18 '' 5 21
19 Mr. 20 20
20 Moore 21 21
21 reports 0 11
22 . 21 5

0 ROOT ROOT None
1 Based 20 11
2 largely 1 1
3 on 1 1
4 the 6 6
5 recent 6 6
6 strength 3 3
7 in 6 6
8 their 9 9
9 index 7 7
10 , 9 1
11 called 9 36
12 the 15 13
13 long 15 15
14 leading 15 15
15 indicator 11 11
16 , 20 11
17 the 19 19
18 Columbia 19 19
19 analysts 20 20
20 foresee 0 11
21 uninterrupted 22 23
22 economic 23 23
23 growth 20 20
24 through 20 20
25 the 26 26
26 rest 24 24
27 of 26 26
28 this 29 29
29 year 27 27
30 and 26 29
31 next 32 32
32 year 26 29
33 as 34 34
34 well 32 20
35 . 20 11

0 ROOT ROOT None
1 They 2 2
2 expect 0 20
3 a 6 6
4 2.6 5 5
5 % 6 6
6 rise 2 2
7 in 6 6
8 1990 7 7
9 in 6 6
10 the 13 11
11 gross 13 13
12 national 13 13
13 product 9 9
14 , 2 6
15 after 2 14
16 adjustment 15 15
17 for 16 16
18 inflation 17 17
19 . 2 2

0 ROOT ROOT None
1 Underlying 0 4
2 this 3 3
3 optimism 1 1
4 is 1 36
5 the 6 6
6 index 9 9
7 's 6 6
8 longstanding 9 9
9 ability 1 4
10 to 11 11
11 signal 9 9
12 recessions 11 11
13 or 12 12
14 recoveries 12 12
15 , 20 4
16 as 20 20
17 the 18 18
18 case 20 20
19 may 20 20
20 be 11 4
21 , 20 20
22 by 11 20
23 substantially 24 24
24 greater 25 25
25 periods 22 22
26 than 25 25
27 the 29 29
28 Commerce 29 29
29 Department 31 31
30 's 29 29
31 index 26 26
32 of 31 31
33 leading 34 34
34 indicators 32 32
35 . 1 4

0 ROOT ROOT None
1 Over 18 36
2 the 7 4
3 full 7 4
4 post-World 7 7
5 War 7 7
6 II 7 7
7 era 1 1
8 , 18 7
9 the 11 11
10 Columbia 11 11
11 index 18 8
12 , 18 7
13 on 18 12
14 the 15 13
15 average 13 14
16 , 18 13
17 has 18 18
18 entered 0 16
19 sustained 20 20
20 declines 18 18
21 14 22 22
22 months 18 20
23 before 22 20
24 the 25 25
25 onset 23 23
26 of 25 25
27 recessions 26 26
28 and 18 18
29 turned 18 18
30 up 29 29
31 eight 32 32
32 months 29 29
33 before 32 29
34 recoveries 33 33
35 . 18 1

0 ROOT ROOT None
1 The 4 4
2 comparable 4 4
3 lead 4 4
4 times 17 12
5 for 4 4
6 the 8 8
7 Commerce 8 8
8 index 5 5
9 , 8 4
10 whose 11 11
11 components 12 12
12 include 8 32
13 the 15 15
14 stock 15 15
15 market 12 12
16 , 8 12
17 are 0 12
18 far 19 19
19 shorter 17 17
20 -- 17 19
21 10 22 22
22 months 17 19
23 before 22 22
24 recessions 23 23
25 and 22 19
26 only 28 27
27 three 28 28
28 months 22 19
29 before 28 19
30 recoveries 29 29
31 . 17 12

0 ROOT ROOT None
1 The 3 3
2 Columbia 3 3
3 economists 6 6
4 also 6 6
5 have 6 6
6 reconstructed 0 37
7 how 14 14
8 the 11 11
9 long 11 11
10 leading 11 11
11 index 14 14
12 would 14 14
13 have 14 14
14 behaved 6 6
15 , 14 6
16 had 18 6
17 it 18 18
18 existed 14 16
19 , 20 18
20 in 14 18
21 1929 20 20
22 , 20 18
23 before 14 18
24 the 27 27
25 stock 27 27
26 market 27 27
27 crash 23 23
28 in 27 18
29 October 28 28
30 that 31 31
31 ushered 27 18
32 in 31 31
33 the 35 35
34 Great 35 35
35 Depression 31 32
36 . 6 6

0 ROOT ROOT None
1 The 2 2
2 indicator 3 3
3 reached 0 20
4 a 5 5
5 peak 3 3
6 in 3 3
7 January 6 6
8 1929 7 7
9 and 3 3
10 then 11 3
11 fell 3 3
12 steadily 11 11
13 up 11 11
14 to 13 13
15 and 13 14
16 through 13 11
17 the 18 18
18 crash 13 16
19 . 3 3

0 ROOT ROOT None
1 `` 3 18
2 It 3 3
3 was 18 18
4 an 7 7
5 entirely 7 6
6 different 7 7
7 pattern 3 3
8 from 7 7
9 what 12 12
10 we 12 12
11 're 12 12
12 seeing 8 8
13 now 12 12
14 , 3 18
15 '' 3 18
16 Mr. 17 17
17 Moore 18 18
18 says 0 20
19 . 18 18

0 ROOT ROOT None
1 A 3 3
2 major 3 3
3 source 14 14
4 of 3 3
5 the 7 7
6 recent 7 7
7 strength 4 4
8 in 7 7
9 the 12 12
10 long 12 12
11 leading 12 12
12 indicator 8 14
13 has 14 14
14 been 0 35
15 the 16 16
16 performance 14 14
17 of 16 16
18 the 23 23
19 Dow 23 23
20 Jones 23 23
21 corporate 23 23
22 bond-price 23 23
23 index 17 17
24 , 23 23
25 which 26 26
26 is 23 23
27 not 26 26
28 a 29 29
29 part 26 26
30 of 29 29
31 the 33 33
32 Commerce 33 33
33 index 30 30
34 . 14 14

0 ROOT ROOT None
1 In 7 7
2 August 1 1
3 , 7 7
4 the 6 6
5 bond 6 6
6 measure 7 7
7 was 0 17
8 at 7 7
9 its 12 8
10 highest 11 9
11 monthly 12 10
12 average 8 11
13 since 7 7
14 early 15 15
15 1987 13 13
16 . 7 7

0 ROOT ROOT None
1 It 3 3
2 also 3 3
3 rose 0 13
4 last 5 5
5 Friday 3 3
6 , 3 3
7 while 11 11
8 the 10 10
9 stock 10 10
10 market 11 11
11 sagged 3 3
12 . 3 3

0 ROOT ROOT None
1 Other 2 2
2 components 8 8
3 of 2 2
4 the 7 7
5 long 7 7
6 leading 7 7
7 indicator 3 3
8 include 0 41
9 a 10 10
10 ratio 8 8
11 of 10 10
12 prices 11 11
13 to 12 12
14 unit 16 16
15 labor 16 16
16 costs 13 13
17 in 16 12
18 manufacturing 19 19
19 industries 17 17
20 , 10 10
21 the 23 23
22 M2 23 23
23 version 10 10
24 of 23 23
25 the 27 27
26 money 27 27
27 supply 24 24
28 , 23 27
29 adjusted 23 27
30 for 29 29
31 inflation 30 30
32 , 10 27
33 and 10 27
34 the 35 35
35 volume 10 27
36 of 35 35
37 new 39 39
38 home-building 39 39
39 permits 36 36
40 . 8 8

0 ROOT ROOT None
1 Notably 2 2
2 absent 7 7
3 from 2 2
4 the 6 6
5 Columbia 6 6
6 index 3 3
7 is 0 46
8 the 10 10
9 stock 10 10
10 market 7 7
11 , 10 15
12 which 15 15
13 Mr. 14 14
14 Moore 15 15
15 says 10 7
16 `` 17 15
17 is 15 7
18 simply 17 17
19 no 20 20
20 longer 17 24
21 such 24 24
22 a 24 24
23 good 24 24
24 indicator 17 17
25 of 24 24
26 the 27 27
27 economy 30 30
28 's 27 27
29 long-range 30 30
30 prospects 25 25
31 , 17 17
32 though 35 35
33 it 35 35
34 still 35 35
35 is 17 7
36 useful 35 35
37 for 36 36
38 anticipating 37 37
39 some 41 41
40 short-run 41 41
41 twists 38 38
42 and 41 41
43 turns 41 41
44 . 7 7
45 '' 7 7

0 ROOT ROOT None
1 As 2 2
2 recently 25 25
3 as 2 2
4 1975 3 3
5 , 25 25
6 the 8 8
7 stock 8 8
8 market 25 25
9 -- 11 8
10 as 11 11
11 reflected 8 8
12 in 11 11
13 the 18 18
14 Standard 18 18
15 & 14 14
16 Poor 14 14
17 's 14 14
18 index 12 12
19 of 18 18
20 500 22 22
21 common 22 22
22 stocks 19 19
23 -- 11 8
24 was 25 25
25 rated 0 49
26 by 25 25
27 the 29 29
28 National 29 29
29 Bureau 26 26
30 of 29 29
31 Economic 32 32
32 Research 30 30
33 as 25 25
34 the 35 35
35 best 33 33
36 of 35 35
37 the 40 40
38 12 40 39
39 leading 40 40
40 indicators 36 36
41 that 43 43
42 then 43 43
43 made 40 25
44 up 43 43
45 the 47 47
46 Commerce 47 47
47 index 43 43
48 . 25 25

0 ROOT ROOT None
1 It 3 3
2 was 3 3
3 assigned 0 27
4 a 5 5
5 mark 3 3
6 of 5 5
7 80 6 6
8 out 7 3
9 of 8 8
10 a 12 12
11 possible 12 12
12 100 9 9
13 , 3 3
14 compared 3 3
15 with 14 14
16 scores 15 15
17 ranging 16 16
18 as 19 19
19 low 17 17
20 as 19 17
21 69 20 20
22 for 16 17
23 the 25 25
24 other 25 25
25 components 22 22
26 . 3 3

0 ROOT ROOT None
1 The 3 3
2 stock 3 3
3 market 5 5
4 has 5 5
5 lost 0 26
6 some 8 8
7 precursory 8 8
8 power 5 5
9 , 5 5
10 analysts 15 9
11 at 10 10
12 the 14 15
13 Columbia 14 15
14 center 11 15
15 claim 5 11
16 , 5 5
17 because 18 18
18 of 5 5
19 the 21 21
20 growing 21 21
21 impact 18 18
22 of 21 21
23 international 24 24
24 developments 22 22
25 . 5 5

0 ROOT ROOT None
1 `` 4 4
2 Stocks 4 4
3 have 4 4
4 become 20 20
5 more 6 6
6 sensitive 4 4
7 to 6 6
8 factors 7 7
9 not 11 11
10 directly 11 11
11 tied 8 4
12 to 11 11
13 the 15 15
14 domestic 15 15
15 economy 12 12
16 , 4 20
17 '' 4 20
18 Mr. 19 19
19 Moore 20 20
20 says 0 42
21 , 20 20
22 citing 20 20
23 the 25 25
24 exchange 25 25
25 rate 22 22
26 for 25 25
27 the 28 28
28 dollar 26 26
29 on 25 28
30 currency 31 31
31 markets 29 29
32 , 25 25
33 the 35 35
34 foreign-trade 35 35
35 balance 25 32
36 and 25 35
37 inflows 25 35
38 of 37 37
39 foreign 40 40
40 capital 38 38
41 . 20 20

0 ROOT ROOT None
1 He 3 3
2 also 3 3
3 feels 0 26
4 that 15 15
5 the 6 6
6 rise 15 15
7 of 6 6
8 such 9 10
9 computer-based 10 10
10 practices 7 7
11 as 10 10
12 program 13 13
13 trading 11 11
14 has 15 15
15 diminished 3 3
16 the 18 18
17 stock 18 18
18 market 20 20
19 's 18 18
20 relevancy 15 15
21 to 20 20
22 the 24 24
23 economic 24 24
24 outlook 21 21
25 . 3 3

0 ROOT ROOT None
1 BSN 2 2
2 S.A. 10 10
3 , 2 2
4 a 8 8
5 leading 8 8
6 French 8 8
7 food 8 8
8 group 2 2
9 , 2 2
10 said 0 26
11 it 12 12
12 agreed 10 10
13 to 14 14
14 acquire 12 12
15 Birkel 18 16
16 G.m.b 18 18
17 . 18 18
18 H. 14 14
19 , 18 18
20 a 24 24
21 West 22 22
22 German 24 24
23 pasta 24 24
24 maker 18 18
25 . 10 10

0 ROOT ROOT None
1 The 2 2
2 value 8 8
3 of 2 2
4 the 5 5
5 acquisition 3 3
6 was 8 8
7 n't 8 8
8 disclosed 0 10
9 . 8 8

0 ROOT ROOT None
1 The 2 2
2 move 3 3
3 is 0 24
4 in 3 3
5 line 4 4
6 with 5 5
7 BSN 9 9
8 's 7 7
9 strategy 6 6
10 of 9 9
11 gradually 12 12
12 building 10 10
13 its 14 14
14 share 12 12
15 of 14 14
16 the 19 19
17 European 19 19
18 pasta 19 19
19 market 15 15
20 through 12 12
21 external 22 22
22 growth 20 20
23 . 3 3

0 ROOT ROOT None
1 BSN 4 4
2 will 4 4
3 initially 4 4
4 acquire 0 17
5 a 8 8
6 15 7 8
7 % 8 8
8 interest 4 4
9 in 8 8
10 Birkel 9 9
11 , 10 10
12 a 15 15
13 closely 14 14
14 held 15 15
15 concern 10 10
16 . 4 4

0 ROOT ROOT None
1 The 3 3
2 French 3 3
3 group 4 4
4 has 31 31
5 an 6 6
6 agreement 4 22
7 giving 6 6
8 it 7 7
9 the 10 10
10 right 7 7
11 to 12 12
12 buy 10 10
13 all 15 15
14 the 15 15
15 shares 12 12
16 outstanding 15 15
17 , 4 6
18 and 4 6
19 this 22 22
20 could 22 22
21 be 22 22
22 completed 4 4
23 within 22 22
24 a 26 26
25 few 26 26
26 months 23 23
27 , 4 31
28 a 30 30
29 BSN 30 30
30 spokeswoman 31 31
31 said 0 33
32 . 31 31

0 ROOT ROOT None
1 The 2 2
2 takeover 4 4
3 was 4 4
4 submitted 15 15
5 for 4 4
6 approval 5 5
7 by 4 6
8 the 12 12
9 West 10 10
10 German 12 12
11 cartel 12 12
12 office 7 7
13 , 15 15
14 BSN 15 15
15 said 0 17
16 . 15 15

0 ROOT ROOT None
1 Birkel 2 2
2 is 0 25
3 West 4 4
4 Germany 7 7
5 's 4 4
6 second-biggest 7 7
7 producer 2 2
8 of 7 7
9 pasta 8 8
10 , 2 2
11 with 2 2
12 sales 11 11
13 of 12 12
14 250 15 15
15 million 16 16
16 marks 13 13
17 ( 18 18
18 $ 16 16
19 133.4 20 20
20 million 18 18
21 ) 18 18
22 in 12 12
23 1988 22 22
24 . 2 2

0 ROOT ROOT None
1 It 2 2
2 has 0 24
3 750 4 4
4 workers 2 2
5 at 2 2
6 three 8 8
7 production 8 8
8 units 5 5
9 in 8 8
10 southwest 11 11
11 Germany 9 9
12 , 2 2
13 and 2 2
14 is 2 2
15 that 16 14
16 nation 19 19
17 's 16 16
18 leading 19 19
19 producer 14 15
20 of 19 19
21 pasta 22 22
22 sauces 20 20
23 . 2 2

0 ROOT ROOT None
1 The 2 2
2 acquisition 3 3
3 strengthens 0 13
4 BSN 6 6
5 's 4 4
6 position 3 3
7 in 6 6
8 the 11 11
9 European 11 11
10 pasta 11 11
11 market 7 7
12 . 3 3

0 ROOT ROOT None
1 The 3 3
2 French 3 3
3 group 5 5
4 currently 5 5
5 ranks 0 22
6 second 5 5
7 after 6 6
8 Barilla 9 9
9 Group 7 7
10 of 9 9
11 Italy 10 10
12 , 9 5
13 whose 14 14
14 sales 15 16
15 are 9 16
16 chiefly 15 5
17 in 15 16
18 the 20 20
19 Italian 20 20
20 market 17 17
21 . 5 5

0 ROOT ROOT None
1 Moody 5 5
2 's 1 1
3 Investors 5 5
4 Service 5 5
5 Inc. 6 6
6 said 0 43
7 it 8 8
8 reduced 6 6
9 its 10 10
10 rating 8 8
11 on 10 10
12 $ 11 11
13 281 14 14
14 million 12 12
15 of 12 12
16 senior 19 19
17 and 16 16
18 subordinated 16 19
19 debt 15 15
20 of 19 19
21 this 24 24
22 thrift 24 24
23 holding 24 24
24 company 20 20
25 , 8 8
26 to 8 8
27 C 26 26
28 from 8 8
29 Ca 28 28
30 , 8 6
31 saying 6 6
32 it 33 33
33 believes 31 31
34 bondholders 36 36
35 will 36 36
36 recover 33 33
37 only 40 40
38 `` 40 40
39 negligible 40 40
40 principal 36 36
41 . 6 6
42 '' 6 6

0 ROOT ROOT None
1 The 2 2
2 agency 3 3
3 said 0 15
4 it 5 5
5 confirmed 3 3
6 American 7 7
7 Continental 11 11
8 's 7 7
9 preferred 11 11
10 stock 11 11
11 rating 5 5
12 at 5 11
13 C 12 12
14 . 3 3

0 ROOT ROOT None
1 American 2 2
2 Continental 5 5
3 's 2 2
4 thrift 5 5
5 unit 15 15
6 , 5 5
7 Los 8 10
8 Angeles-based 10 10
9 Lincoln 10 10
10 Savings 5 6
11 & 10 10
12 Loan 13 13
13 Association 10 10
14 , 5 5
15 is 0 38
16 in 15 15
17 receivership 16 16
18 and 15 17
19 the 21 21
20 parent 21 21
21 company 23 17
22 has 23 23
23 filed 15 15
24 for 23 23
25 protection 24 24
26 from 25 25
27 creditor 28 28
28 lawsuits 26 26
29 under 23 23
30 Chapter 29 29
31 11 30 30
32 of 30 30
33 the 36 36
34 federal 36 36
35 Bankruptcy 36 36
36 Code 32 32
37 . 15 15

0 ROOT ROOT None
1 CENTRUST 3 3
2 SAVINGS 3 3
3 BANK 0 8
4 ( 5 5
5 Miami 3 3
6 ) 5 5
7 -- 3 3

0 ROOT ROOT None
1 Moody 5 5
2 's 1 1
3 Investors 5 5
4 Service 5 5
5 Inc. 6 6
6 downgraded 0 20
7 its 8 8
8 ratings 6 6
9 on 8 8
10 the 12 12
11 subordinated 12 12
12 debt 9 9
13 of 12 12
14 CenTrust 13 13
15 to 6 12
16 Caa 15 15
17 from 6 12
18 B-3 17 17
19 . 6 6

0 ROOT ROOT None
1 The 3 3
2 rating 3 3
3 agency 5 5
4 also 5 5
5 reduced 0 24
6 the 7 7
7 ratings 5 5
8 for 7 7
9 long-term 10 10
10 deposits 8 8
11 to 5 12
12 B-3 11 7
13 from 5 12
14 Ba-3 13 13
15 and 5 13
16 for 5 13
17 preferred 18 18
18 stock 16 16
19 to 16 13
20 Ca 19 19
21 from 16 13
22 Caa 21 21
23 . 5 5

0 ROOT ROOT None
1 The 3 3
2 rating 3 3
3 agency 4 4
4 said 0 14
5 about 6 6
6 $ 12 4
7 85 6 8
8 million 6 6
9 in 6 12
10 securities 9 9
11 was 12 12
12 affected 4 4
13 . 4 4

0 ROOT ROOT None
1 The 2 2
2 downgrades 4 4
3 were 4 4
4 prompted 0 30
5 , 4 8
6 Moody 8 8
7 's 6 6
8 said 4 4
9 , 4 8
10 by 4 8
11 the 13 13
12 continuing 13 13
13 turmoil 10 10
14 in 13 13
15 the 18 18
16 junk 18 18
17 bond 18 18
18 market 14 14
19 and 13 18
20 the 21 21
21 suspension 13 18
22 of 21 21
23 dividends 22 22
24 on 23 21
25 CenTrust 28 28
26 's 25 25
27 preferred 28 28
28 stock 24 24
29 . 4 4

0 ROOT ROOT None
1 Moody 4 4
2 's 1 1
3 also 4 4
4 said 0 32
5 it 6 6
6 believed 4 4
7 the 9 9
8 proposed 9 9
9 sale 23 23
10 of 9 9
11 63 13 13
12 CenTrust 13 13
13 branches 10 10
14 to 9 9
15 Great 17 17
16 Western 17 17
17 Bank 14 21
18 could 23 21
19 , 21 18
20 if 21 21
21 completed 23 9
22 , 21 9
23 endanger 6 6
24 the 25 25
25 thrift 27 27
26 's 25 25
27 funding 23 23
28 and 27 27
29 market 30 30
30 position 27 27
31 . 4 4

0 ROOT ROOT None
1 THE 3 4
2 STOCK 3 4
3 MARKET 4 4
4 AVOIDED 0 26
5 a 6 6
6 repeat 4 4
7 of 6 6
8 Black 9 9
9 Monday 7 7
10 as 12 12
11 prices 12 12
12 recovered 4 6
13 from 12 12
14 an 16 16
15 early 16 16
16 slide 13 13
17 , 12 16
18 spurred 12 16
19 by 18 18
20 bargain-hunting 21 21
21 institutions 19 19
22 and 21 21
23 program 24 24
24 traders 21 21
25 . 4 4

0 ROOT ROOT None
1 The 4 4
2 Dow 4 4
3 Jones 4 4
4 industrials 5 5
5 closed 0 30
6 up 5 5
7 88.12 8 8
8 points 6 6
9 , 5 5
10 at 5 5
11 2657.38 10 10
12 , 11 5
13 the 15 16
14 fourth-biggest 15 16
15 gain 11 16
16 ever 15 5
17 , 11 5
18 after 5 5
19 being 18 18
20 down 19 19
21 as 24 26
22 much 24 21
23 as 24 22
24 63.52 25 25
25 points 20 23
26 in 19 19
27 the 28 28
28 morning 26 26
29 . 5 5

0 ROOT ROOT None
1 The 2 2
2 rally 3 14
3 erased 0 2
4 about 5 3
5 half 3 4
6 of 5 5
7 Friday 10 10
8 's 7 7
9 190.58-point 10 10
10 plunge 6 6
11 , 3 2
12 but 3 2
13 analysts 14 14
14 are 3 22
15 cautious 14 14
16 about 15 15
17 the 18 18
18 market 20 20
19 's 18 18
20 outlook 16 16
21 . 3 14

0 ROOT ROOT None
1 The 2 2
2 dollar 4 4
3 also 4 4
4 rebounded 0 16
5 , 4 4
6 while 9 9
7 bond 8 8
8 prices 9 9
9 plummeted 4 4
10 and 9 9
11 Treasury 13 13
12 bill 13 13
13 rates 14 14
14 soared 9 9
15 . 4 4

0 ROOT ROOT None
1 Junk 2 2
2 bonds 4 4
3 also 4 4
4 recovered 0 12
5 somewhat 4 4
6 , 4 4
7 though 9 10
8 trading 9 9
9 remained 4 10
10 stalled 9 4
11 . 4 4

0 ROOT ROOT None
1 Gold 3 3
2 also 3 3
3 rose 0 5
4 . 3 3

0 ROOT ROOT None
1 Tokyo 3 3
2 stock 3 3
3 prices 4 4
4 bounced 0 18
5 back 4 4
6 in 4 4
7 early 8 8
8 trading 6 6
9 Tuesday 8 8
10 following 4 4
11 a 14 14
12 1.8 13 13
13 % 14 14
14 plunge 10 10
15 on 14 14
16 Monday 15 15
17 . 4 4

0 ROOT ROOT None
1 The 2 2
2 dollar 4 4
3 also 4 4
4 moved 0 9
5 higher 4 4
6 in 4 4
7 Tokyo 6 6
8 . 4 4

0 ROOT ROOT None
1 Donald 2 2
2 Trump 3 3
3 withdrew 0 23
4 his 8 5
5 $ 8 8
6 7.54 7 7
7 billion 5 5
8 offer 3 3
9 for 8 8
10 American 11 11
11 Air 9 9
12 , 3 3
13 citing 3 3
14 the 17 17
15 `` 17 17
16 recent 17 17
17 change 13 13
18 in 17 17
19 market 20 20
20 conditions 18 18
21 . 3 3
22 '' 3 3

0 ROOT ROOT None
1 AMR 2 2
2 slid 0 10
3 $ 2 2
4 22.125 3 3
5 , 2 2
6 to 2 2
7 $ 6 6
8 76.50 7 7
9 . 2 2

0 ROOT ROOT None
1 Also 6 6
2 , 6 6
3 a 5 5
4 UAL 5 5
5 group 6 6
6 tried 0 21
7 to 8 8
8 get 6 6
9 financing 8 8
10 for 8 8
11 a 13 13
12 lower 13 13
13 bid 10 10
14 , 13 13
15 possibly 16 16
16 $ 13 14
17 250 16 16
18 a 19 19
19 share 16 16
20 . 6 6

0 ROOT ROOT None
1 UAL 2 2
2 fell 0 10
3 $ 2 2
4 56.875 3 3
5 , 2 2
6 to 2 2
7 $ 6 6
8 222.875 7 7
9 . 2 2

0 ROOT ROOT None
1 Leveraged 2 2
2 buy-outs 6 6
3 of 2 2
4 airlines 3 3
5 would 6 6
6 be 0 23
7 subject 6 6
8 to 7 7
9 approval 8 8
10 by 9 9
11 the 13 13
12 transportation 13 13
13 secretary 10 10
14 under 6 6
15 a 16 16
16 bill 14 14
17 passed 16 16
18 by 17 17
19 a 21 21
20 House 21 21
21 subcommittee 18 18
22 . 6 6

0 ROOT ROOT None
1 IBM 3 3
2 's 1 1
3 earnings 4 4
4 tumbled 0 17
5 30 6 6
6 % 4 4
7 in 4 4
8 the 10 10
9 third 10 10
10 quarter 7 7
11 , 4 4
12 slightly 13 4
13 more 4 12
14 than 13 15
15 expected 14 4
16 . 4 4

0 ROOT ROOT None
1 The 3 3
2 computer 3 3
3 giant 5 5
4 partly 5 5
5 cited 0 20
6 a 8 8
7 stronger 8 8
8 dollar 5 5
9 and 8 8
10 a 11 11
11 delay 8 8
12 in 11 5
13 shipping 12 12
14 a 18 18
15 new 18 18
16 high-end 18 18
17 disk 18 18
18 drive 13 13
19 . 5 5

0 ROOT ROOT None
1 Analysts 2 2
2 are 0 14
3 downbeat 2 2
4 about 3 3
5 IBM 7 7
6 's 5 5
7 outlook 4 4
8 for 7 2
9 the 12 12
10 next 12 12
11 few 12 12
12 quarters 8 8
13 . 2 2

0 ROOT ROOT None
1 U.S. 3 4
2 auto 3 4
3 makers 4 4
4 plan 0 27
5 to 6 6
6 decrease 4 4
7 car 8 8
8 production 6 6
9 10.4 10 10
10 % 6 8
11 in 6 6
12 the 14 14
13 fourth 14 14
14 quarter 11 11
15 , 6 6
16 with 6 6
17 virtually 20 18
18 all 20 20
19 the 20 20
20 decline 21 16
21 coming 16 20
22 from 21 21
23 the 24 25
24 Big 22 25
25 Three 24 22
26 . 4 4

0 ROOT ROOT None
1 Output 10 10
2 at 1 1
3 Japanese-owned 6 2
4 and 3 1
5 managed 3 10
6 plants 2 5
7 in 6 6
8 the 9 9
9 U.S. 7 7
10 is 0 17
11 due 10 10
12 to 13 13
13 rise 11 11
14 42 15 15
15 % 13 13
16 . 10 10

0 ROOT ROOT None
1 Budget 3 3
2 director 3 3
3 Darman 4 4
4 said 0 25
5 he 8 8
6 wo 8 8
7 n't 8 8
8 give 4 4
9 federal 10 10
10 agencies 8 8
11 much 12 10
12 leeway 8 11
13 in 12 12
14 coping 13 13
15 with 14 14
16 Gramm-Rudman 18 18
17 spending 18 18
18 cuts 15 15
19 , 18 18
20 which 21 21
21 took 18 12
22 effect 21 23
23 yesterday 21 21
24 . 4 4

0 ROOT ROOT None
1 Darman 2 2
2 hopes 0 12
3 to 4 4
4 prod 2 2
5 Congress 7 7
6 to 7 7
7 finish 4 4
8 a 10 10
9 deficit 10 10
10 plan 7 7
11 . 2 2

0 ROOT ROOT None
1 The 4 4
2 S&L 4 4
3 bailout 4 4
4 agency 7 7
5 would 7 7
6 be 7 7
7 restricted 0 18
8 by 7 7
9 a 11 11
10 new 11 11
11 bill 8 8
12 in 7 11
13 how 15 15
14 it 15 15
15 raises 12 11
16 capital 15 15
17 . 7 7

0 ROOT ROOT None
1 The 5 2
2 Ways 5 7
3 and 2 2
4 Means 2 5
5 plan 7 7
6 would 7 7
7 create 0 16
8 another 10 10
9 possible 10 10
10 obstacle 7 7
11 to 10 10
12 selling 11 11
13 sick 14 14
14 thrifts 12 12
15 . 7 7

0 ROOT ROOT None
1 A 4 4
2 natural 4 4
3 gas 4 4
4 rule 6 6
5 was 6 6
6 struck 0 14
7 down 6 6
8 by 6 6
9 a 12 12
10 federal 12 12
11 appeals 12 12
12 court 8 8
13 . 6 6

0 ROOT ROOT None
1 The 2 2
2 regulation 4 4
3 had 4 4
4 prevented 0 20
5 pipeline 6 6
6 firms 4 4
7 from 4 4
8 passing 7 7
9 part 8 8
10 of 9 9
11 $ 10 10
12 1 13 13
13 billion 11 11
14 in 11 11
15 costs 14 14
16 along 8 9
17 to 16 16
18 customers 17 17
19 . 4 4

0 ROOT ROOT None
1 The 3 3
2 Supreme 3 3
3 Court 4 4
4 agreed 0 29
5 to 6 6
6 decide 4 4
7 whether 12 12
8 a 10 10
9 federal 10 10
10 court 12 12
11 may 12 12
12 dismantle 6 6
13 a 14 14
14 merger 12 12
15 that 17 17
16 has 17 17
17 won 14 14
18 regulatory 19 17
19 approval 17 17
20 but 17 17
21 been 22 22
22 ruled 17 17
23 anticompetitive 22 22
24 in 22 22
25 a 27 27
26 private 27 27
27 suit 24 24
28 . 4 4

0 ROOT ROOT None
1 Merrill 2 2
2 Lynch 4 4
3 's 2 2
4 profit 5 5
5 slid 0 13
6 37 7 7
7 % 5 5
8 in 5 5
9 the 11 11
10 third 11 11
11 quarter 8 8
12 . 5 5

0 ROOT ROOT None
1 Bear 2 2
2 Stearns 3 3
3 posted 0 20
4 a 7 7
5 7.5 6 6
6 % 7 7
7 gain 3 3
8 , 3 3
9 while 11 11
10 PaineWebber 11 11
11 had 3 3
12 a 13 14
13 decline 11 14
14 due 13 11
15 to 14 14
16 a 18 18
17 year-ago 18 18
18 gain 15 15
19 . 3 3

0 ROOT ROOT None
1 Blue 2 2
2 Arrow 5 18
3 of 2 2
4 Britain 3 5
5 plans 0 3
6 to 7 7
7 return 5 5
8 to 7 7
9 the 11 10
10 name 11 8
11 Manpower 8 10
12 and 7 7
13 take 7 7
14 a 16 16
15 big 16 16
16 write-off 13 13
17 . 5 2

0 ROOT ROOT None
1 The 2 2
2 moves 4 4
3 may 4 4
4 help 0 16
5 the 6 6
6 firm 7 7
7 solidify 4 4
8 its 9 9
9 dominance 7 7
10 of 9 9
11 the 14 14
12 U.S. 14 14
13 temporary-help 14 14
14 market 10 10
